# Region      : all 
# Cells       : 202779
# Volume      : 9.987244e-07
# Time        	max(U)	max(p)
90            	(6.093752e-02 2.944155e-04 6.107056e-02)	1.194581e+07
180           	(5.983633e-02 2.999016e-04 5.908755e-02)	9.008765e+06
270           	(6.015431e-02 3.006642e-04 5.922102e-02)	7.945809e+06
360           	(6.015350e-02 3.690670e-04 5.922694e-02)	6.867249e+06
450           	(6.015082e-02 3.770818e-04 5.922365e-02)	6.215039e+06
